0,字,한글,隋語拼音,聲母,開合,等呼,韻母,聲調
1,東,동,tuŋ,端,開,一,東,平
2,菄,,tuŋ,端,開,一,東,平
3,鶇,,tuŋ,端,開,一,東,平
4,䍶,,tuŋ,端,開,一,東,平
5,𠍀,,tuŋ,端,開,一,東,平
6,倲,동,tuŋ,端,開,一,東,平
7,𩜍,,tuŋ,端,開,一,東,平
8,𢘐,,tuŋ,端,開,一,東,平
9,涷,동,tuŋ,端,開,一,東,平
10,蝀,동,tuŋ,端,開,一,東,平
11,凍,동,tuŋ,端,開,一,東,平
12,鯟,,tuŋ,端,開,一,東,平
13,𢔅,,tuŋ,端,開,一,東,平
14,崠,,tuŋ,端,開,一,東,平
15,埬,,tuŋ,端,開,一,東,平
16,𧓕,,tuŋ,端,開,一,東,平
17,䰤,,tuŋ,端,開,一,東,平
18,同,동,duŋ,定,開,一,東,平
19,仝,동,duŋ,定,開,一,東,平
20,童,동,duŋ,定,開,一,東,平
21,僮,동,duŋ,定,開,一,東,平
22,銅,동,duŋ,定,開,一,東,平
23,桐,동,duŋ,定,開,一,東,平
24,峒,동,duŋ,定,開,一,東,平
25,硐,,duŋ,定,開,一,東,平
26,𦨴,,duŋ,定,開,一,東,平
27,𧱁,,duŋ,定,開,一,東,平
28,筒,통,duŋ,定,開,一,東,平
29,瞳,동,duŋ,定,開,一,東,平
30,㼧,,duŋ,定,開,一,東,平
31,𤭁,,duŋ,定,開,一,東,平
32,罿,,duŋ,定,開,一,東,平
33,犝,,duŋ,定,開,一,東,平
34,筩,통,duŋ,定,開,一,東,平
35,潼,동,duŋ,定,開,一,東,平
36,曈,,duŋ,定,開,一,東,平
37,洞,동,duŋ,定,開,一,東,平
38,侗,동,duŋ,定,開,一,東,平
39,橦,동,duŋ,定,開,一,東,平
40,烔,,duŋ,定,開,一,東,平
41,䴀,,duŋ,定,開,一,東,平
42,挏,,duŋ,定,開,一,東,平
43,酮,,duŋ,定,開,一,東,平
44,鮦,,duŋ,定,開,一,東,平
45,㼿,,duŋ,定,開,一,東,平
46,𦏆,,duŋ,定,開,一,東,平
47,𦍻,,duŋ,定,開,一,東,平
48,眮,,duŋ,定,開,一,東,平
49,蕫,동,duŋ,定,開,一,東,平
50,穜,,duŋ,定,開,一,東,平
51,衕,,duŋ,定,開,一,東,平
52,𩍅,,duŋ,定,開,一,東,平
53,𢈉,,duŋ,定,開,一,東,平
54,䆚,,duŋ,定,開,一,東,平
55,哃,동,duŋ,定,開,一,東,平
56,𢏕,,duŋ,定,開,一,東,平
57,絧,,duŋ,定,開,一,東,平
58,𨚯,,duŋ,定,開,一,東,平
59,𨝯,,duŋ,定,開,一,東,平
60,𪔝,,duŋ,定,開,一,東,平
61,𩦶,,duŋ,定,開,一,東,平
62,𪒿,,duŋ,定,開,一,東,平
63,中,중,tryuŋ,知,開,三,東,平
64,衷,충,tryuŋ,知,開,三,東,平
65,忠,충,tryuŋ,知,開,三,東,平
66,𦬕,,tryuŋ,知,開,三,東,平
67,蟲,충,dryuŋ,澄,開,三,東,平
68,沖,충,dryuŋ,澄,開,三,東,平
69,种,충,dryuŋ,澄,開,三,東,平
70,盅,,dryuŋ,澄,開,三,東,平
71,爞,,dryuŋ,澄,開,三,東,平
72,𦬕,,dryuŋ,澄,開,三,東,平
73,翀,,dryuŋ,澄,開,三,東,平
74,終,종,tyuŋ,章,開,三,東,平
75,衆,중,tyuŋ,章,開,三,東,平
76,潨,,tyuŋ,章,開,三,東,平
77,𣧩,,tyuŋ,章,開,三,東,平
78,螽,종,tyuŋ,章,開,三,東,平
79,𧑄,,tyuŋ,章,開,三,東,平
80,鼨,,tyuŋ,章,開,三,東,平
81,蔠,,tyuŋ,章,開,三,東,平
82,柊,종,tyuŋ,章,開,三,東,平
83,𩅧,,tyuŋ,章,開,三,東,平
84,䶱,,tyuŋ,章,開,三,東,平
85,鴤,,tyuŋ,章,開,三,東,平
86,䈺,,tyuŋ,章,開,三,東,平
87,泈,,tyuŋ,章,開,三,東,平
88,䝦,,tyuŋ,章,開,三,東,平
89,忡,충,thryuŋ,徹,開,三,東,平
90,浺,,thryuŋ,徹,開,三,東,平
91,盅,,thryuŋ,徹,開,三,東,平
92,崇,숭,dzryuŋ,崇,開,三,東,平
93,崈,,dzryuŋ,崇,開,三,東,平
94,㓽,,dzryuŋ,崇,開,三,東,平
95,𩞉,,dzryuŋ,崇,開,三,東,平
96,嵩,숭,syuŋ,心,開,三,東,平
97,崧,숭,syuŋ,心,開,三,東,平
98,𪀚,,syuŋ,心,開,三,東,平
99,娀,,syuŋ,心,開,三,東,平
100,菘,숭,syuŋ,心,開,三,東,平
101,硹,,syuŋ,心,開,三,東,平
102,㣝,,syuŋ,心,開,三,東,平
103,𧊕,,syuŋ,心,開,三,東,平
104,𨱿,,syuŋ,心,開,三,東,平
105,戎,융,nyuŋ,日,開,三,東,平
106,𢦦,,nyuŋ,日,開,三,東,平
107,茙,,nyuŋ,日,開,三,東,平
108,㭜,,nyuŋ,日,開,三,東,平
109,駥,,nyuŋ,日,開,三,東,平
110,𥬪,,nyuŋ,日,開,三,東,平
111,𠈋,,nyuŋ,日,開,三,東,平
112,狨,융,nyuŋ,日,開,三,東,平
113,絨,융,nyuŋ,日,開,三,東,平
114,弓,궁,kyuŋ,見,開,三,東,平
115,躳,궁,kyuŋ,見,開,三,東,平
116,躬,궁,kyuŋ,見,開,三,東,平
117,㴦,,kyuŋ,見,開,三,東,平
118,宮,궁,kyuŋ,見,開,三,東,平
119,匑,궁,kyuŋ,見,開,三,東,平
120,融,융,jyuŋ,以,開,三,東,平
121,肜,,jyuŋ,以,開,三,東,平
122,瀜,융,jyuŋ,以,開,三,東,平
123,雄,웅,xyuŋ,云,開,三,東,平
124,熊,웅,xyuŋ,云,開,三,東,平
125,瞢,몽,myuŋ,明,開,三,東,平
126,夢,몽,myuŋ,明,開,三,東,平
127,𨞯,,myuŋ,明,開,三,東,平
128,懜,,myuŋ,明,開,三,東,平
129,𦫰,,myuŋ,明,開,三,東,平
130,𧲎,,myuŋ,明,開,三,東,平
131,穹,궁,khyuŋ,溪,開,三,東,平
132,𢞏,,khyuŋ,溪,開,三,東,平
133,焪,,khyuŋ,溪,開,三,東,平
134,芎,궁,khyuŋ,溪,開,三,東,平
135,𦵡,,khyuŋ,溪,開,三,東,平
136,匑,궁,khyuŋ,溪,開,三,東,平
137,𥳎,,khyuŋ,溪,開,三,東,平
138,窮,궁,gyuŋ,群,開,三,東,平
139,藭,,gyuŋ,群,開,三,東,平
140,𥨪,,gyuŋ,群,開,三,東,平
141,馮,풍,byuŋ,並,開,三,東,平
142,堸,,byuŋ,並,開,三,東,平
143,汎,범,byuŋ,並,開,三,東,平
144,芃,,byuŋ,並,開,三,東,平
145,𨝭,,byuŋ,並,開,三,東,平
146,渢,,byuŋ,並,開,三,東,平
147,梵,범,byuŋ,並,開,三,東,平
148,風,풍,pyuŋ,幫,開,三,東,平
149,飌,,pyuŋ,幫,開,三,東,平
150,楓,풍,pyuŋ,幫,開,三,東,平
151,猦,,pyuŋ,幫,開,三,東,平
152,偑,,pyuŋ,幫,開,三,東,平
153,檒,,pyuŋ,幫,開,三,東,平
154,𧆉,,pyuŋ,幫,開,三,東,平
155,豐,풍,phyuŋ,滂,開,三,東,平
156,酆,,phyuŋ,滂,開,三,東,平
157,蘴,,phyuŋ,滂,開,三,東,平
158,灃,,phyuŋ,滂,開,三,東,平
159,寷,,phyuŋ,滂,開,三,東,平
160,麷,,phyuŋ,滂,開,三,東,平
161,㒥,,phyuŋ,滂,開,三,東,平
162,㠦,,phyuŋ,滂,開,三,東,平
163,充,충,thyuŋ,昌,開,三,東,平
164,珫,충,thyuŋ,昌,開,三,東,平
165,茺,,thyuŋ,昌,開,三,東,平
166,㤝,,thyuŋ,昌,開,三,東,平
167,䘪,,thyuŋ,昌,開,三,東,平
168,𪎽,,thyuŋ,昌,開,三,東,平
169,㳘,,thyuŋ,昌,開,三,東,平
170,隆,륭,lyuŋ,來,開,三,東,平
171,癃,륭,lyuŋ,來,開,三,東,平
172,𪔳,,lyuŋ,來,開,三,東,平
173,窿,륭,lyuŋ,來,開,三,東,平
174,霳,,lyuŋ,來,開,三,東,平
175,㚅,,lyuŋ,來,開,三,東,平
176,空,공,khuŋ,溪,開,一,東,平
177,箜,공,khuŋ,溪,開,一,東,平
178,崆,공,khuŋ,溪,開,一,東,平
179,椌,,khuŋ,溪,開,一,東,平
180,硿,,khuŋ,溪,開,一,東,平
181,䅝,,khuŋ,溪,開,一,東,平
182,悾,공,khuŋ,溪,開,一,東,平
183,埪,,khuŋ,溪,開,一,東,平
184,倥,공,khuŋ,溪,開,一,東,平
185,涳,,khuŋ,溪,開,一,東,平
186,鵼,,khuŋ,溪,開,一,東,平
187,𦱇,,khuŋ,溪,開,一,東,平
188,𢃐,,khuŋ,溪,開,一,東,平
189,𧌆,,khuŋ,溪,開,一,東,平
190,公,공,kuŋ,見,開,一,東,平
191,功,공,kuŋ,見,開,一,東,平
192,工,공,kuŋ,見,開,一,東,平
193,疘,,kuŋ,見,開,一,東,平
194,蚣,공,kuŋ,見,開,一,東,平
195,玒,,kuŋ,見,開,一,東,平
196,釭,공,kuŋ,見,開,一,東,平
197,魟,,kuŋ,見,開,一,東,平
198,攻,공,kuŋ,見,開,一,東,平
199,㓚,,kuŋ,見,開,一,東,平
200,愩,,kuŋ,見,開,一,東,平
201,碽,,kuŋ,見,開,一,東,平
202,篢,,kuŋ,見,開,一,東,平
203,蒙,몽,muŋ,明,開,一,東,平
204,冡,몽,muŋ,明,開,一,東,平
205,濛,몽,muŋ,明,開,一,東,平
206,𩦺,,muŋ,明,開,一,東,平
207,艨,몽,muŋ,明,開,一,東,平
208,䑃,,muŋ,明,開,一,東,平
209,矇,몽,muŋ,明,開,一,東,平
210,饛,,muŋ,明,開,一,東,平
211,䰒,,muŋ,明,開,一,東,平
212,檬,,muŋ,明,開,一,東,平
213,𨢊,,muŋ,明,開,一,東,平
214,䴿,,muŋ,明,開,一,東,平
215,𨣘,,muŋ,明,開,一,東,平
216,鸏,몽,muŋ,明,開,一,東,平
217,幪,몽,muŋ,明,開,一,東,平
218,罞,,muŋ,明,開,一,東,平
219,𢄐,,muŋ,明,開,一,東,平
220,髳,,muŋ,明,開,一,東,平
221,蠓,,muŋ,明,開,一,東,平
222,𦿏,,muŋ,明,開,一,東,平
223,雺,몽,muŋ,明,開,一,東,平
224,霿,,muŋ,明,開,一,東,平
225,霚,,muŋ,明,開,一,東,平
226,朦,몽,muŋ,明,開,一,東,平
227,䀄,,muŋ,明,開,一,東,平
228,懜,,muŋ,明,開,一,東,平
229,霥,,muŋ,明,開,一,東,平
230,籠,롱,luŋ,來,開,一,東,平
231,豅,,luŋ,來,開,一,東,平
232,㰍,,luŋ,來,開,一,東,平
233,朧,롱,luŋ,來,開,一,東,平
234,𡃡,,luŋ,來,開,一,東,平
235,龓,,luŋ,來,開,一,東,平
236,䪊,,luŋ,來,開,一,東,平
237,瀧,롱,luŋ,來,開,一,東,平
238,聾,롱,luŋ,來,開,一,東,平
239,𨏠,,luŋ,來,開,一,東,平
240,礱,롱,luŋ,來,開,一,東,平
241,䆍,,luŋ,來,開,一,東,平
242,𪚗,,luŋ,來,開,一,東,平
243,嚨,롱,luŋ,來,開,一,東,平
244,蘢,롱,luŋ,來,開,一,東,平
245,櫳,,luŋ,來,開,一,東,平
246,𤮨,,luŋ,來,開,一,東,平
247,巃,,luŋ,來,開,一,東,平
248,襱,,luŋ,來,開,一,東,平
249,𧙥,,luŋ,來,開,一,東,平
250,瓏,롱,luŋ,來,開,一,東,平
251,曨,롱,luŋ,來,開,一,東,平
252,鸗,,luŋ,來,開,一,東,平
253,𩟭,,luŋ,來,開,一,東,平
254,蠪,,luŋ,來,開,一,東,平
255,㟅,,luŋ,來,開,一,東,平
256,屸,,luŋ,來,開,一,東,平
257,洪,홍,xuŋ,匣,開,一,東,平
258,鉷,홍,xuŋ,匣,開,一,東,平
259,訌,홍,xuŋ,匣,開,一,東,平
260,紅,홍,xuŋ,匣,開,一,東,平
261,虹,홍,xuŋ,匣,開,一,東,平
262,仜,,xuŋ,匣,開,一,東,平
263,鴻,홍,xuŋ,匣,開,一,東,平
264,葒,,xuŋ,匣,開,一,東,平
265,葓,,xuŋ,匣,開,一,東,平
266,谼,,xuŋ,匣,開,一,東,平
267,䉺,,xuŋ,匣,開,一,東,平
268,烘,홍,xuŋ,匣,開,一,東,平
269,洚,,xuŋ,匣,開,一,東,平
270,渱,,xuŋ,匣,開,一,東,平
271,𨹁,,xuŋ,匣,開,一,東,平
272,魟,,xuŋ,匣,開,一,東,平
273,䧆,,xuŋ,匣,開,一,東,平
274,䪦,,xuŋ,匣,開,一,東,平
275,𦏺,,xuŋ,匣,開,一,東,平
276,䫹,,xuŋ,匣,開,一,東,平
277,𨾊,,xuŋ,匣,開,一,東,平
278,叢,총,dzuŋ,從,開,一,東,平
279,藂,,dzuŋ,從,開,一,東,平
280,䕺,,dzuŋ,從,開,一,東,平
281,潨,,dzuŋ,從,開,一,東,平
282,𥵫,,dzuŋ,從,開,一,東,平
283,翁,옹,quŋ,影,開,一,東,平
284,螉,,quŋ,影,開,一,東,平
285,䱵,,quŋ,影,開,一,東,平
286,蓊,옹,quŋ,影,開,一,東,平
287,䈵,,quŋ,影,開,一,東,平
288,䩺,,quŋ,影,開,一,東,平
289,㮬,,quŋ,影,開,一,東,平
290,𩔚,,quŋ,影,開,一,東,平
291,怱,총,chuŋ,清,開,一,東,平
292,忩,,chuŋ,清,開,一,東,平
293,葱,총,chuŋ,清,開,一,東,平
294,楤,,chuŋ,清,開,一,東,平
295,𨍉,,chuŋ,清,開,一,東,平
296,聦,,chuŋ,清,開,一,東,平
297,繱,,chuŋ,清,開,一,東,平
298,𤧚,,chuŋ,清,開,一,東,平
299,騘,총,chuŋ,清,開,一,東,平
300,䗓,,chuŋ,清,開,一,東,平
301,囪,창,chuŋ,清,開,一,東,平
302,𨣭,,chuŋ,清,開,一,東,平
303,鍯,,chuŋ,清,開,一,東,平
304,㷓,,chuŋ,清,開,一,東,平
305,𢉛,,chuŋ,清,開,一,東,平
306,通,통,thuŋ,透,開,一,東,平
307,蓪,,thuŋ,透,開,一,東,平
308,侗,동,thuŋ,透,開,一,東,平
309,恫,통,thuŋ,透,開,一,東,平
310,痌,,thuŋ,透,開,一,東,平
311,曈,,thuŋ,透,開,一,東,平
312,俑,용,thuŋ,透,開,一,東,平
313,𧳆,,thuŋ,透,開,一,東,平
314,𨀜,,thuŋ,透,開,一,東,平
315,葼,,cuŋ,精,開,一,東,平
316,鬷,,cuŋ,精,開,一,東,平
317,嵕,,cuŋ,精,開,一,東,平
318,猣,,cuŋ,精,開,一,東,平
319,豵,,cuŋ,精,開,一,東,平
320,鯼,,cuŋ,精,開,一,東,平
321,椶,종,cuŋ,精,開,一,東,平
322,騣,,cuŋ,精,開,一,東,平
323,𩮀,,cuŋ,精,開,一,東,平
324,䗥,,cuŋ,精,開,一,東,平
325,嵸,,cuŋ,精,開,一,東,平
326,艐,,cuŋ,精,開,一,東,平
327,蝬,,cuŋ,精,開,一,東,平
328,堫,,cuŋ,精,開,一,東,平
329,𥓻,,cuŋ,精,開,一,東,平
330,翪,,cuŋ,精,開,一,東,平
331,緵,,cuŋ,精,開,一,東,平
332,㚇,,cuŋ,精,開,一,東,平
333,㣭,,cuŋ,精,開,一,東,平
334,稯,,cuŋ,精,開,一,東,平
335,鬉,,cuŋ,精,開,一,東,平
336,蓬,봉,buŋ,並,開,一,東,平
337,𥭗,,buŋ,並,開,一,東,平
338,篷,봉,buŋ,並,開,一,東,平
339,髼,,buŋ,並,開,一,東,平
340,蜂,봉,buŋ,並,開,一,東,平
341,芃,,buŋ,並,開,一,東,平
342,𧚋,,buŋ,並,開,一,東,平
343,韸,,buŋ,並,開,一,東,平
344,䮾,,buŋ,並,開,一,東,平
345,𩖛,,buŋ,並,開,一,東,平
346,烘,홍,qhuŋ,曉,開,一,東,平
347,叿,,qhuŋ,曉,開,一,東,平
348,魟,,qhuŋ,曉,開,一,東,平
349,谾,,qhuŋ,曉,開,一,東,平
350,𩐠,,qhuŋ,曉,開,一,東,平
351,𩗄,,qhuŋ,曉,開,一,東,平
352,㟅,,ŋuŋ,疑,開,一,東,平
353,檧,,suŋ,心,開,一,東,平
354,憽,,suŋ,心,開,一,東,平
355,㬝,,suŋ,心,開,一,東,平
356,冬,동,toŋ,端,開,一,冬,平
357,𠔙,,toŋ,端,開,一,冬,平
358,苳,동,toŋ,端,開,一,冬,平
359,䳉,,toŋ,端,開,一,冬,平
360,笗,,toŋ,端,開,一,冬,平
361,𩂓,,toŋ,端,開,一,冬,平
362,𧲴,,toŋ,端,開,一,冬,平
363,彤,동,doŋ,定,開,一,冬,平
364,疼,동,doŋ,定,開,一,冬,平
365,佟,동,doŋ,定,開,一,冬,平
366,炵,동,doŋ,定,開,一,冬,平
367,䳋,,doŋ,定,開,一,冬,平
368,鼕,동,doŋ,定,開,一,冬,平
369,𢥞,,doŋ,定,開,一,冬,平
370,𢾮,,doŋ,定,開,一,冬,平
371,爞,,doŋ,定,開,一,冬,平
372,㤏,,doŋ,定,開,一,冬,平
373,痋,,doŋ,定,開,一,冬,平
374,䂈,,doŋ,定,開,一,冬,平
375,鉵,,doŋ,定,開,一,冬,平
376,𧹝,,doŋ,定,開,一,冬,平
377,𩦶,,doŋ,定,開,一,冬,平
378,浵,,doŋ,定,開,一,冬,平
379,䶱,,doŋ,定,開,一,冬,平
