0,正,簡,隋文,華文,粤文,韓文,日文,華注音,韓諺文,日仮名
1,趙,赵,Driéu,Zhào,Ziu6,Jo,Tyô,ㄓㄠˋ,조,チョウ
2,錢,钱,Dzien,Qián,Cin4,Jeon,Sen,ㄑㄧㄢˊ,전,セン
3,孫,孙,Sun,Sūn,Syun1,Son,Son,ㄙㄨㄣ,손,ソン
4,李,李,Liə́,Lǐ,Lei5,Ri,Ri,ㄌㄧˇ,리,リ
5,周,周,Tyu,Zhōu,Zau1,Ju,Syû,ㄓㄡ,주,シュウ
6,吳,吴,Ŋo,Wú,Ng4,O,Go,ㄨˊ,오,ゴ
7,鄭,郑,Driêŋ,Zhèng,Zeng6,Jeong,Tei,ㄓㄥˋ,정,テイ
8,王,王,Xyaŋ,Wáng,Wong4,Wang,Ô,ㄨㄤˊ,왕,オウ
9,馮,冯,Byuŋ,Féng,Fung4,Pung,Hô,ㄈㄥˊ,풍,ホウ
10,陳,陈,Drin,Chén,Can4,Jin,Tin,ㄔㄣˊ,진,チン
11,褚,褚,Thrió,Chǔ,Cyu2,Jeo,Tyo,ㄔㄨˇ,저,チョ
12,衞,卫,Xryêi,Wèi,Wai6,Wi,Ei,ㄨㄟˋ,위,エイ
13,蔣,蒋,Ciáŋ,Jiǎng,Zoeng2,Jang,Syô,ㄐㄧㄤˇ,장,ショウ
14,沈,沈,Shím,Shěn,Sam2,Sim,Sin,ㄕㄣˇ,심,シン
15,韓,韩,Xan,Hán,Hon4,Han,Han,ㄏㄢˊ,한,ハン
16,楊,杨,Jiaŋ,Yáng,Joeng4,Yang,Yô,ㄧㄤˊ,양,ヨウ
17,朱,朱,Tyo,Zhū,Zyu1,Ju,Syu,ㄓㄨ,주,シュ
18,秦,秦,Dzin,Qín,Ceon4,Jin,Sin,ㄑㄧㄣˊ,진,シン
19,尤,尤,Xyu,Yóu,Jau4,U,Yû,ㄧㄡˊ,우,ユウ
20,許,许,Qhió,Xǔ,Heoi2,Heo,Kyo,ㄒㄩˇ,허,キョ
21,何,何,Xa,Hé,Ho4,Ha,Ka,ㄏㄜˊ,하,カ
