0,字,隋語拼音,聲符,小韻,反切,聲母,開合,等呼,韻母,聲調,《廣韻》韻目,平水韻,中古拼音,白氏拼音,他數據
1,東,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
2,菄,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
3,鶇,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
4,䍶,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
5,𠍀,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
6,倲,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
7,𩜍,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
8,𢘐,tuŋ,仝,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
9,涷,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
10,蝀,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
11,凍,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
12,鯟,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
13,𢔅,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
14,崠,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
15,埬,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
16,𧓕,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
17,䰤,tuŋ,東,1,德紅,端,開,一,東,平,上平一東,上平一東,tung,tuwng,
18,同,duŋ,同,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
19,仝,duŋ,仝,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
20,童,duŋ,重,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
21,僮,duŋ,重,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
22,銅,duŋ,同,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
23,桐,duŋ,同,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
24,峒,duŋ,同,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
25,硐,duŋ,同,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
26,𦨴,duŋ,同,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
27,𧱁,duŋ,同,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
28,筒,duŋ,用,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
29,瞳,duŋ,重,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
30,㼧,duŋ,用,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
31,𤭁,duŋ,同,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
32,罿,duŋ,重,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
33,犝,duŋ,重,2,徒紅,定,開,一,東,平,上平一東,上平一東,dung,duwng,
